Category,Text Size [MB],Pattern Length,Alphabet Size,Time [ms],Algorithm,Best Algo
rand2,1.0,8,2.0,5.37,LBNDM,
rand2,1.0,16,2.0,3.84,LBNDM,
rand2,1.0,32,2.0,1.52,LBNDM,
rand2,1.0,64,2.0,1.43,LBNDM,
rand2,1.0,128,2.0,8.86,LBNDM,
rand2,1.0,256,2.0,23.89,LBNDM,
rand2,1.0,512,2.0,19.84,LBNDM,
rand2,1.0,1024,2.0,16.16,LBNDM,
rand2,1.0,2,2.0,9.87,RAITA,
rand2,1.0,4,2.0,10.89,RAITA,
rand2,1.0,8,2.0,9.87,RAITA,
rand2,1.0,16,2.0,10.19,RAITA,
rand2,1.0,32,2.0,10.05,RAITA,
rand2,1.0,64,2.0,9.84,RAITA,
rand2,1.0,128,2.0,10.52,RAITA,
rand2,1.0,256,2.0,11.56,RAITA,
rand2,1.0,512,2.0,11.21,RAITA,
rand2,1.0,1024,2.0,8.86,RAITA,
rand2,1.0,2,2.0,6.11,SBNDMQ2,
rand2,1.0,4,2.0,5.20,SBNDMQ2,
rand2,1.0,8,2.0,3.93,SBNDMQ2,
rand2,1.0,16,2.0,1.74,SBNDMQ2,
rand2,1.0,32,2.0,0.74,SBNDMQ2,SBNDMQ2
rand2,1.0,64,2.0,0.89,SBNDMQ2,
rand2,1.0,128,2.0,1.00,SBNDMQ2,
rand2,1.0,256,2.0,0.79,SBNDMQ2,
rand2,1.0,512,2.0,0.75,SBNDMQ2,SBNDMQ2
rand2,1.0,1024,2.0,1.24,SBNDMQ2,
rand2,1.0,2,2.0,1.22,SO,SO
rand2,1.0,4,2.0,1.98,SO,SO
rand2,1.0,8,2.0,1.98,SO,SO
rand2,1.0,16,2.0,1.12,SO,SO
rand2,1.0,32,2.0,1.09,SO,
rand2,1.0,64,2.0,1.64,SO,
rand2,1.0,128,2.0,1.24,SO,
rand2,1.0,256,2.0,1.36,SO,
rand2,1.0,512,2.0,1.50,SO,
rand2,1.0,1024,2.0,1.66,SO,
rand2,1.0,2,2.0,0.00,SSEF,
rand2,1.0,4,2.0,0.00,SSEF,
rand2,1.0,8,2.0,0.00,SSEF,
rand2,1.0,16,2.0,0.00,SSEF,
rand2,1.0,32,2.0,6.66,SSEF,
rand2,1.0,64,2.0,6.62,SSEF,
rand2,1.0,128,2.0,7.37,SSEF,
rand2,1.0,256,2.0,5.62,SSEF,
rand2,1.0,512,2.0,5.79,SSEF,
rand2,1.0,1024,2.0,7.48,SSEF,
rand2,1.0,2,2.0,337.70,TVSBS,
rand2,1.0,4,2.0,563.21,TVSBS,
rand2,1.0,8,2.0,561.75,TVSBS,
rand2,1.0,16,2.0,427.79,TVSBS,
rand2,1.0,32,2.0,381.96,TVSBS,
rand2,1.0,64,2.0,429.79,TVSBS,
rand2,1.0,128,2.0,534.72,TVSBS,
rand2,1.0,256,2.0,460.47,TVSBS,
rand2,1.0,512,2.0,482.04,TVSBS,
rand2,1.0,1024,2.0,453.87,TVSBS,
rand2,1.0,2,2.0,11.06,TW,
rand2,1.0,4,2.0,9.68,TW,
rand2,1.0,8,2.0,8.19,TW,
rand2,1.0,16,2.0,7.96,TW,
rand2,1.0,32,2.0,8.49,TW,
rand2,1.0,64,2.0,9.90,TW,
rand2,1.0,128,2.0,8.51,TW,
rand2,1.0,256,2.0,9.53,TW,
rand2,1.0,512,2.0,8.60,TW,
rand2,1.0,1024,2.0,9.28,TW,
rand2,5.0,2,2.0,0.00,AOSO2,
rand2,5.0,4,2.0,80.95,AOSO2,
rand2,5.0,8,2.0,29.55,AOSO2,
rand2,5.0,16,2.0,8.56,AOSO2,AOSO2
rand2,5.0,32,2.0,9.38,AOSO2,
rand2,5.0,64,2.0,8.39,AOSO2,
rand2,5.0,128,2.0,5.93,AOSO2,
rand2,5.0,256,2.0,8.66,AOSO2,
rand2,5.0,512,2.0,7.59,AOSO2,
rand2,5.0,1024,2.0,7.07,AOSO2,
rand2,5.0,2,2.0,56.84,BM,
rand2,5.0,4,2.0,46.12,BM,
rand2,5.0,8,2.0,38.37,BM,
rand2,5.0,16,2.0,25.45,BM,
rand2,5.0,32,2.0,20.02,BM,
rand2,5.0,64,2.0,17.16,BM,
rand2,5.0,128,2.0,14.28,BM,
rand2,5.0,256,2.0,10.90,BM,
rand2,5.0,512,2.0,7.79,BM,
rand2,5.0,1024,2.0,8.06,BM,
rand2,5.0,2,2.0,63.86,BMH-SBNDM,
rand2,5.0,4,2.0,53.32,BMH-SBNDM,
rand2,5.0,8,2.0,35.64,BMH-SBNDM,
rand2,5.0,16,2.0,19.20,BMH-SBNDM,
rand2,5.0,32,2.0,10.27,BMH-SBNDM,
rand2,5.0,64,2.0,11.04,BMH-SBNDM,
rand2,5.0,128,2.0,10.62,BMH-SBNDM,
rand2,5.0,256,2.0,10.47,BMH-SBNDM,
rand2,5.0,512,2.0,10.06,BMH-SBNDM,
rand2,5.0,1024,2.0,10.02,BMH-SBNDM,
rand2,5.0,2,2.0,56.08,BNDM,
rand2,5.0,4,2.0,51.87,BNDM,
rand2,5.0,8,2.0,31.20,BNDM,
rand2,5.0,16,2.0,15.90,BNDM,
rand2,5.0,32,2.0,8.95,BNDM,
rand2,5.0,64,2.0,8.82,BNDM,
rand2,5.0,128,2.0,8.33,BNDM,
rand2,5.0,256,2.0,8.65,BNDM,
rand2,5.0,512,2.0,8.11,BNDM,
rand2,5.0,1024,2.0,7.77,BNDM,
rand2,5.0,2,2.0,34.50,EBOM,
rand2,5.0,4,2.0,36.40,EBOM,
rand2,5.0,8,2.0,31.11,EBOM,
rand2,5.0,16,2.0,16.86,EBOM,
rand2,5.0,32,2.0,9.97,EBOM,
rand2,5.0,64,2.0,7.30,EBOM,
rand2,5.0,128,2.0,3.93,EBOM,EBOM
rand2,5.0,256,2.0,2.91,EBOM,EBOM
rand2,5.0,512,2.0,3.85,EBOM,EBOM
rand2,5.0,1024,2.0,2.95,EBOM,EBOM
rand2,5.0,2,2.0,0.00,FAOSO4,
rand2,5.0,4,2.0,0.00,FAOSO4,
rand2,5.0,8,2.0,68.86,FAOSO4,
rand2,5.0,16,2.0,26.43,FAOSO4,
rand2,5.0,32,2.0,6.97,FAOSO4,
rand2,5.0,64,2.0,7.80,FAOSO4,
rand2,5.0,128,2.0,8.04,FAOSO4,
rand2,5.0,256,2.0,8.34,FAOSO4,
rand2,5.0,512,2.0,7.51,FAOSO4,
rand2,5.0,1024,2.0,7.43,FAOSO4,
rand2,5.0,2,2.0,54.56,FJS,
rand2,5.0,4,2.0,49.04,FJS,
rand2,5.0,8,2.0,59.76,FJS,
rand2,5.0,16,2.0,62.03,FJS,
rand2,5.0,32,2.0,63.45,FJS,
rand2,5.0,64,2.0,59.07,FJS,
rand2,5.0,128,2.0,64.21,FJS,
rand2,5.0,256,2.0,63.07,FJS,
rand2,5.0,512,2.0,61.39,FJS,
rand2,5.0,1024,2.0,60.69,FJS,
rand2,5.0,2,2.0,58.09,FS,
rand2,5.0,4,2.0,44.50,FS,
rand2,5.0,8,2.0,33.78,FS,
rand2,5.0,16,2.0,24.05,FS,
rand2,5.0,32,2.0,18.59,FS,
rand2,5.0,64,2.0,14.90,FS,
rand2,5.0,128,2.0,12.70,FS,
rand2,5.0,256,2.0,10.63,FS,
rand2,5.0,512,2.0,10.30,FS,
rand2,5.0,1024,2.0,7.05,FS,
rand2,5.0,2,2.0,53.76,FSBNDM,
rand2,5.0,4,2.0,41.34,FSBNDM,
rand2,5.0,8,2.0,23.07,FSBNDM,
rand2,5.0,16,2.0,13.89,FSBNDM,
rand2,5.0,32,2.0,6.51,FSBNDM,
rand2,5.0,64,2.0,6.53,FSBNDM,FSBNDM
rand2,5.0,128,2.0,5.37,FSBNDM,
rand2,5.0,256,2.0,7.28,FSBNDM,
rand2,5.0,512,2.0,7.42,FSBNDM,
rand2,5.0,1024,2.0,5.78,FSBNDM,
rand2,5.0,2,2.0,63.51,HOR,
rand2,5.0,4,2.0,56.84,HOR,
rand2,5.0,8,2.0,60.50,HOR,
rand2,5.0,16,2.0,56.40,HOR,
rand2,5.0,32,2.0,60.16,HOR,
rand2,5.0,64,2.0,59.22,HOR,
rand2,5.0,128,2.0,59.90,HOR,
rand2,5.0,256,2.0,59.71,HOR,
rand2,5.0,512,2.0,58.84,HOR,
rand2,5.0,1024,2.0,56.67,HOR,
rand2,5.0,2,2.0,40.15,KR,
rand2,5.0,4,2.0,22.72,KR,
rand2,5.0,8,2.0,16.52,KR,
rand2,5.0,16,2.0,14.11,KR,
rand2,5.0,32,2.0,14.08,KR,
rand2,5.0,64,2.0,14.90,KR,
rand2,5.0,128,2.0,14.42,KR,
rand2,5.0,256,2.0,13.78,KR,
rand2,5.0,512,2.0,12.78,KR,
rand2,5.0,1024,2.0,15.30,KR,
rand2,5.0,2,2.0,70.89,LBNDM,
rand2,5.0,4,2.0,52.61,LBNDM,
rand2,5.0,8,2.0,32.58,LBNDM,
rand2,5.0,16,2.0,18.70,LBNDM,
rand2,5.0,32,2.0,9.89,LBNDM,
rand2,5.0,64,2.0,9.24,LBNDM,
rand2,5.0,128,2.0,56.39,LBNDM,
rand2,5.0,256,2.0,123.80,LBNDM,
rand2,5.0,512,2.0,93.91,LBNDM,
rand2,5.0,1024,2.0,80.83,LBNDM,
rand2,5.0,2,2.0,57.69,RAITA,
rand2,5.0,4,2.0,52.34,RAITA,
rand2,5.0,8,2.0,50.86,RAITA,
rand2,5.0,16,2.0,50.02,RAITA,
rand2,5.0,32,2.0,55.72,RAITA,
rand2,5.0,64,2.0,58.14,RAITA,
rand2,5.0,128,2.0,54.78,RAITA,
rand2,5.0,256,2.0,55.92,RAITA,
rand2,5.0,512,2.0,55.20,RAITA,
rand2,5.0,1024,2.0,59.28,RAITA,
rand2,5.0,2,2.0,34.96,SBNDMQ2,
rand2,5.0,4,2.0,35.04,SBNDMQ2,
rand2,5.0,8,2.0,22.49,SBNDMQ2,
rand2,5.0,16,2.0,10.41,SBNDMQ2,
rand2,5.0,32,2.0,5.87,SBNDMQ2,SBNDMQ2
rand2,5.0,64,2.0,6.72,SBNDMQ2,
rand2,5.0,128,2.0,7.40,SBNDMQ2,
rand2,5.0,256,2.0,6.87,SBNDMQ2,
rand2,5.0,512,2.0,7.46,SBNDMQ2,
rand2,5.0,1024,2.0,6.85,SBNDMQ2,
rand2,5.0,2,2.0,8.95,SO,SO
rand2,5.0,4,2.0,9.08,SO,SO
rand2,5.0,8,2.0,7.31,SO,SO
rand2,5.0,16,2.0,9.69,SO,
rand2,5.0,32,2.0,9.29,SO,
rand2,5.0,64,2.0,8.22,SO,
rand2,5.0,128,2.0,8.64,SO,
rand2,5.0,256,2.0,9.00,SO,
rand2,5.0,512,2.0,9.38,SO,
rand2,5.0,1024,2.0,9.30,SO,
rand2,5.0,2,2.0,0.00,SSEF,
rand2,5.0,4,2.0,0.00,SSEF,
rand2,5.0,8,2.0,0.00,SSEF,
rand2,5.0,16,2.0,0.00,SSEF,
rand2,5.0,32,2.0,38.21,SSEF,
rand2,5.0,64,2.0,38.02,SSEF,
rand2,5.0,128,2.0,37.80,SSEF,
rand2,5.0,256,2.0,38.89,SSEF,
rand2,5.0,512,2.0,35.60,SSEF,
rand2,5.0,1024,2.0,40.31,SSEF,
rand2,5.0,2,2.0,0.00,TVSBS,
rand2,5.0,4,2.0,0.00,TVSBS,
rand2,5.0,8,2.0,0.00,TVSBS,
rand2,5.0,16,2.0,0.00,TVSBS,
rand2,5.0,32,2.0,0.00,TVSBS,
rand2,5.0,64,2.0,0.00,TVSBS,
rand2,5.0,128,2.0,0.00,TVSBS,
rand2,5.0,256,2.0,0.00,TVSBS,
rand2,5.0,512,2.0,0.00,TVSBS,
rand2,5.0,1024,2.0,0.00,TVSBS,
rand2,5.0,2,2.0,56.64,TW,
rand2,5.0,4,2.0,51.18,TW,
rand2,5.0,8,2.0,50.79,TW,
rand2,5.0,16,2.0,50.71,TW,
rand2,5.0,32,2.0,49.55,TW,
rand2,5.0,64,2.0,51.49,TW,
rand2,5.0,128,2.0,50.64,TW,
rand2,5.0,256,2.0,51.04,TW,
rand2,5.0,512,2.0,53.58,TW,
rand2,5.0,1024,2.0,50.87,TW,
rand2,10.0,2,2.0,0.00,AOSO2,
rand2,10.0,4,2.0,164.15,AOSO2,
rand2,10.0,8,2.0,61.10,AOSO2,
rand2,10.0,16,2.0,17.54,AOSO2,AOSO2
rand2,10.0,32,2.0,16.16,AOSO2,
rand2,10.0,64,2.0,16.50,AOSO2,
rand2,10.0,128,2.0,16.80,AOSO2,
rand2,10.0,256,2.0,16.20,AOSO2,
rand2,10.0,512,2.0,16.76,AOSO2,
rand2,10.0,1024,2.0,16.59,AOSO2,
rand2,10.0,2,2.0,115.72,BM,
rand2,10.0,4,2.0,100.52,BM,
